Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	 : 
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	(m/s²)(N)	 
0.0000000000000e+000	      -0.1622278	               0
1.9531250000000e-002	      -0.1591097	    -0.001508848
3.9062500000000e-002	      -0.1684539	    -0.009219483
5.8593750000000e-002	      -0.1764944	   9.017831e-005
7.8125000000000e-002	      -0.1433816	     -0.02447308
9.7656250000000e-002	      -0.1390778	      0.04292171
1.1718750000000e-001	      -0.2035487	     -0.08116177
1.3671875000000e-001	      -0.1559439	      0.01344053
1.5625000000000e-001	      -0.2071314	      0.07893055
1.7578125000000e-001	      -0.1934661	     -0.06540508
1.9531250000000e-001	      -0.1742792	      -0.1203045
2.1484375000000e-001	      -0.2735779	      0.05747551
2.3437500000000e-001	     -0.04699902	      0.07697473
2.5390625000000e-001	      -0.2032299	       0.1008001
2.7343750000000e-001	     -0.07095227	      0.03561777
2.9296875000000e-001	     -0.06345524	      0.02212463
3.1250000000000e-001	      -0.1697956	     -0.02333228
3.3203125000000e-001	      -0.8165715	       0.1533581
3.5156250000000e-001	       0.1884582	       0.4123462
3.7109375000000e-001	       0.3406943	       0.4029406
3.9062500000000e-001	      -0.5379323	      -0.4666443
4.1015625000000e-001	      0.09569128	      0.05831088
4.2968750000000e-001	      -0.1786384	      -0.1500222
4.4921875000000e-001	      0.02186694	       0.5050279
4.6875000000000e-001	       0.1407809	      -0.1428123
4.8828125000000e-001	      -0.2892527	      -0.1422134
5.0781250000000e-001	      -0.2834324	       0.0750879
5.2734375000000e-001	       0.2740966	      -0.1501822
5.4687500000000e-001	      -0.1721666	       0.2873279
5.6640625000000e-001	      -0.4242555	      0.08083044
5.8593750000000e-001	        0.486056	      -0.1821662
6.0546875000000e-001	      -0.2066827	      -0.5250289
6.2500000000000e-001	      -0.3041262	      -0.5363758
6.4453125000000e-001	      -0.2555853	      -0.1453343
6.6406250000000e-001	      -0.2232713	      -0.1966729
6.8359375000000e-001	       -0.157397	       0.2139189
7.0312500000000e-001	      -0.3219577	      -0.2882277
7.2265625000000e-001	      -0.5009685	      -0.1386803
7.4218750000000e-001	      -0.2725385	      0.04429402
7.6171875000000e-001	      -0.3697489	      0.07456228
7.8125000000000e-001	      -0.1351311	      0.08883236
8.0078125000000e-001	      -0.4195897	      -0.2307494
8.2031250000000e-001	      -0.5458895	       0.1434182
8.3984375000000e-001	      -0.2871464	       0.1824522
8.5937500000000e-001	      -0.2265453	      0.05811986
8.7890625000000e-001	      -0.3571189	       0.1378448
8.9843750000000e-001	      -0.4614779	       0.2669463
9.1796875000000e-001	      -0.2328332	       0.3431177
9.3750000000000e-001	      0.01143356	       0.1564554
9.5703125000000e-001	     -0.02096697	      0.01867957
9.7656250000000e-001	     -0.08453562	      0.07318255
9.9609375000000e-001	      0.03841105	       0.2618001
1.0156250000000e+000	      0.07104276	     -0.05401315
1.0351562500000e+000	      0.08511043	      -0.1440161
1.0546875000000e+000	      -0.1864753	     -0.04297458
