Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	 : 
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	(m/s²)(N)	 
0.0000000000000e+000	      -0.1632271	               0
1.9531250000000e-002	      -0.1676587	     0.002835436
3.9062500000000e-002	      -0.1621246	     0.001023583
5.8593750000000e-002	      -0.1677326	      0.01344949
7.8125000000000e-002	      -0.1424076	      0.03915366
9.7656250000000e-002	      -0.2144851	     -0.02052988
1.1718750000000e-001	       -0.160103	      0.05474757
1.3671875000000e-001	      -0.1511081	      0.04812725
1.5625000000000e-001	      -0.1221388	      0.07218196
1.7578125000000e-001	      -0.1998403	     -0.06358656
1.9531250000000e-001	      -0.1757298	       0.2910148
2.1484375000000e-001	     -0.02763699	      0.03481381
2.3437500000000e-001	      -0.1456707	      0.07689253
2.5390625000000e-001	      -0.1477416	       0.2841006
2.7343750000000e-001	       0.1520263	      -0.1020857
2.9296875000000e-001	      -0.4927776	      0.07989278
3.1250000000000e-001	        0.152817	       0.1421982
3.3203125000000e-001	       0.1690938	        0.175018
3.5156250000000e-001	       0.2608969	      -0.3702096
3.7109375000000e-001	       0.2008082	      0.02231657
3.9062500000000e-001	       0.2744181	      -0.7421398
4.1015625000000e-001	       0.2298762	      -0.6890026
4.2968750000000e-001	      0.03994167	       -1.106328
4.4921875000000e-001	       -2.162202	        1.270172
4.6875000000000e-001	      -0.7306604	       0.6795737
4.8828125000000e-001	      -0.1365309	       0.2225597
5.0781250000000e-001	       -0.959896	       0.6873677
5.2734375000000e-001	      0.07547447	       0.6514395
5.4687500000000e-001	      -0.1233178	       0.2012255
5.6640625000000e-001	       -0.019011	       0.2781782
5.8593750000000e-001	      -0.3568776	     0.005714135
6.0546875000000e-001	      -0.2004475	       0.2420444
6.2500000000000e-001	       0.1348464	       0.2852212
6.4453125000000e-001	      -0.0656882	     -0.09910263
6.6406250000000e-001	       0.3350413	      0.06307375
6.8359375000000e-001	      -0.2050009	      0.03982481
7.0312500000000e-001	      -0.2668011	       0.1830074
7.2265625000000e-001	      -0.3681187	     -0.08544875
7.4218750000000e-001	      -0.3990429	       0.1786753
7.6171875000000e-001	       -0.073827	       0.1787425
7.8125000000000e-001	      -0.2266415	       0.2834022
8.0078125000000e-001	      0.04682232	       0.2914197
8.2031250000000e-001	      0.00900749	      0.09888569
8.3984375000000e-001	     -0.04432482	        0.118841
8.5937500000000e-001	      -0.0447318	      -0.1512263
8.7890625000000e-001	      -0.1708592	     -0.08407903
8.9843750000000e-001	       -0.131816	       0.1794107
9.1796875000000e-001	      0.05889111	      0.09398229
9.3750000000000e-001	       0.1509234	       0.0286619
9.5703125000000e-001	      -0.3473914	      -0.3620051
9.7656250000000e-001	      -0.3380716	      0.07567713
9.9609375000000e-001	      0.01379079	       0.5432663
1.0156250000000e+000	       -0.187748	     -0.04785502
1.0351562500000e+000	      -0.1102433	     -0.04467836
1.0546875000000e+000	       0.1665724	       0.2024736
1.0742187500000e+000	     -0.09473795	       0.1611281
