Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	 : 
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	(m/s²)(N)	 
0.0000000000000e+000	      -0.1571303	               0
1.9531250000000e-002	      -0.1598461	     0.002143483
3.9062500000000e-002	      -0.1621622	     0.007957393
5.8593750000000e-002	      -0.1589141	     -0.01310432
7.8125000000000e-002	      -0.1685138	    -0.006840301
9.7656250000000e-002	      -0.2077294	      0.07062947
1.1718750000000e-001	     -0.08905848	       0.1397885
1.3671875000000e-001	       -0.122823	     -0.01774624
1.5625000000000e-001	     -0.07526596	     -0.09301835
1.7578125000000e-001	     -0.08631912	     -0.03027837
1.9531250000000e-001	      -0.1042145	      0.03417777
2.1484375000000e-001	      -0.1663525	    -0.009171131
2.3437500000000e-001	      -0.1922775	     -0.06479927
2.5390625000000e-001	      -0.2625112	       0.2674333
2.7343750000000e-001	    -0.007461603	        0.363905
2.9296875000000e-001	       0.1196106	      -0.1481166
3.1250000000000e-001	      -0.2388009	      -0.2224203
3.3203125000000e-001	      -0.1141293	      0.04125393
3.5156250000000e-001	      0.09153879	       0.2507815
3.7109375000000e-001	      -0.5570049	      -0.1055948
3.9062500000000e-001	      -0.2465985	       0.5660611
4.1015625000000e-001	     -0.01296027	      -0.3179403
4.2968750000000e-001	      -0.1955002	      -0.0941212
4.4921875000000e-001	      -0.1401406	       0.3210426
4.6875000000000e-001	       0.3846702	       0.2343515
4.8828125000000e-001	        0.144538	      -0.3351985
5.0781250000000e-001	       0.1824619	       0.2832464
5.2734375000000e-001	      -0.2766092	       0.1629344
5.4687500000000e-001	      -0.3337951	      0.05996244
5.6640625000000e-001	       -0.114474	     -0.04119762
5.8593750000000e-001	      -0.3267081	       0.1611049
6.0546875000000e-001	      -0.1300129	      0.08136921
6.2500000000000e-001	       0.4460501	       0.1762315
6.4453125000000e-001	      -0.1030165	      -0.2955992
6.6406250000000e-001	       0.2646076	       0.2088897
6.8359375000000e-001	       0.1351967	      -0.1290527
7.0312500000000e-001	      -0.1111174	      -0.2920666
7.2265625000000e-001	      -0.5851777	        0.197781
7.4218750000000e-001	      -0.1917496	       0.3956615
7.6171875000000e-001	      -0.2066929	     -0.06761553
7.8125000000000e-001	      -0.2373496	      -0.1496713
8.0078125000000e-001	     -0.08412419	      0.01770958
8.2031250000000e-001	     -0.08350708	     -0.04658023
8.3984375000000e-001	      0.09598473	        0.264542
8.5937500000000e-001	      0.03935176	      0.02006311
8.7890625000000e-001	      -0.1253854	      -0.2185145
8.9843750000000e-001	      0.05496722	      0.04518429
9.1796875000000e-001	      -0.2672842	      -0.1283959
9.3750000000000e-001	     -0.03464432	     -0.06713543
9.5703125000000e-001	      -0.3079251	      -0.2167518
9.7656250000000e-001	      -0.3019567	       0.1007865
9.9609375000000e-001	      0.01771816	      0.03711345
1.0156250000000e+000	      -0.1245467	     -0.05629223
1.0351562500000e+000	      -0.2014036	     -0.01585335
1.0546875000000e+000	      -0.1456517	    -0.007377224
