Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	 : 
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	(m/s²)(N)	 
0.0000000000000e+000	      -0.1680016	               0
1.9531250000000e-002	       -0.165041	     0.005047748
3.9062500000000e-002	      -0.1774101	    0.0005293696
5.8593750000000e-002	      -0.1794041	      0.01887895
7.8125000000000e-002	      -0.1426781	      0.06190608
9.7656250000000e-002	      -0.1552723	     -0.01562659
1.1718750000000e-001	      -0.2553552	       0.0646947
1.3671875000000e-001	      -0.2004735	      0.09053446
1.5625000000000e-001	      -0.1822195	        0.143939
1.7578125000000e-001	      -0.1438915	      0.02316258
1.9531250000000e-001	     -0.03152253	    -0.007491167
2.1484375000000e-001	      -0.1601331	       0.1749846
2.3437500000000e-001	      -0.1667552	      0.05899174
2.5390625000000e-001	      0.02955375	       0.1617304
2.7343750000000e-001	      -0.1489325	     -0.03703716
2.9296875000000e-001	      -0.4328415	      0.05397975
3.1250000000000e-001	     -0.08862867	      0.07172666
3.3203125000000e-001	    -0.000694022	       0.2294145
3.5156250000000e-001	      -0.2138108	        0.460793
3.7109375000000e-001	       0.4934129	      -0.3044422
3.9062500000000e-001	      -0.4818026	       0.0942738
4.1015625000000e-001	      -0.3006465	       0.2520723
4.2968750000000e-001	      -0.2264557	       0.7066211
4.4921875000000e-001	        1.524179	       -1.227321
4.6875000000000e-001	       0.2525755	      -0.6548895
4.8828125000000e-001	       0.3140804	       -1.015663
5.0781250000000e-001	     -0.02571952	      -0.4370103
5.2734375000000e-001	      -0.5088199	      0.05933324
5.4687500000000e-001	       0.2964075	      -0.3421654
5.6640625000000e-001	      -0.4273738	       -0.624904
5.8593750000000e-001	      0.03921331	      -0.4471968
6.0546875000000e-001	      -0.1211356	      -0.2260181
6.2500000000000e-001	      -0.3614407	      -0.4398623
6.4453125000000e-001	      -0.1445782	      -0.1662846
6.6406250000000e-001	     -0.02594354	     -0.05483586
6.8359375000000e-001	      -0.1699764	      -0.1775611
7.0312500000000e-001	       -0.094383	      0.01075634
7.2265625000000e-001	      0.08889044	      -0.6149784
7.4218750000000e-001	       0.2737217	      -0.3624756
7.6171875000000e-001	       0.1250799	      -0.2111392
7.8125000000000e-001	      -0.1949568	      -0.2842252
8.0078125000000e-001	      -0.5175939	       0.2319283
8.2031250000000e-001	     -0.09573884	       0.2416076
8.3984375000000e-001	      -0.3310356	     -0.01035069
8.5937500000000e-001	      -0.1516227	       0.1912426
8.7890625000000e-001	      -0.2543457	      -0.1254269
8.9843750000000e-001	       0.1642059	      -0.1979891
9.1796875000000e-001	      0.01970911	     0.004165547
9.3750000000000e-001	     -0.02491751	      -0.1785084
9.5703125000000e-001	       0.1981541	       -0.165115
9.7656250000000e-001	      -0.3341831	      -0.3484696
9.9609375000000e-001	      -0.4646865	     -0.08475814
1.0156250000000e+000	       -0.188739	        0.105385
1.0351562500000e+000	     -0.01954132	      -0.3446985
1.0546875000000e+000	      -0.5027452	      -0.2055437
