Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	 : 
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	(m/s²)(N)	 
0.0000000000000e+000	      -0.1653318	               0
1.9531250000000e-002	      -0.1706937	   3.705532e-005
3.9062500000000e-002	      -0.1689174	    -0.002213355
5.8593750000000e-002	      -0.1707514	     -0.02059692
7.8125000000000e-002	      -0.1850535	      0.01231154
9.7656250000000e-002	      -0.1537514	      0.03311326
1.1718750000000e-001	      -0.1808088	       0.0345182
1.3671875000000e-001	      -0.1422426	      0.04079979
1.5625000000000e-001	      -0.1241204	     0.003521345
1.7578125000000e-001	       -0.248384	       0.0419137
1.9531250000000e-001	     -0.00575402	     0.002501456
2.1484375000000e-001	      0.06843353	       -0.194994
2.3437500000000e-001	      -0.2622122	     -0.02221493
2.5390625000000e-001	         -0.0102	     -0.07435208
2.7343750000000e-001	      -0.3471665	      -0.3116943
2.9296875000000e-001	      -0.3772636	     -0.05184976
3.1250000000000e-001	      -0.1164035	     -0.06791142
3.3203125000000e-001	       0.2573431	      -0.2250379
3.5156250000000e-001	      0.07245971	       0.4656872
3.7109375000000e-001	       0.1692862	      -0.2670453
3.9062500000000e-001	      0.04696278	       0.3442888
4.1015625000000e-001	       0.4338433	      -0.6507127
4.2968750000000e-001	       0.5119933	      -0.7957235
4.4921875000000e-001	       -3.136052	       0.9151865
4.6875000000000e-001	      -0.2338287	       0.7857798
4.8828125000000e-001	      -0.3004302	       0.6713834
5.0781250000000e-001	      -0.2293175	       0.3528159
5.2734375000000e-001	       0.1502087	       0.4756008
5.4687500000000e-001	       0.1756252	      -0.1457445
5.6640625000000e-001	      -0.4053406	        0.801645
5.8593750000000e-001	     -0.05907622	      0.01821016
6.0546875000000e-001	      -0.6957859	        0.176617
6.2500000000000e-001	      -0.1258589	       0.2396202
6.4453125000000e-001	      -0.3047317	       0.1712942
6.6406250000000e-001	        0.103201	       0.4049357
6.8359375000000e-001	       0.1038058	       0.3356491
7.0312500000000e-001	       0.2735714	     -0.08094273
7.2265625000000e-001	       -0.261144	     -0.09605242
7.4218750000000e-001	       0.0467707	       0.2683678
7.6171875000000e-001	       0.1988504	       0.3645614
7.8125000000000e-001	      -0.2766089	       0.1729554
8.0078125000000e-001	      0.06110589	       0.0379258
8.2031250000000e-001	       0.3602599	      -0.1346327
8.3984375000000e-001	      -0.4078289	      -0.1501001
8.5937500000000e-001	      -0.1618665	       0.1516807
8.7890625000000e-001	      -0.1464738	       0.1485893
8.9843750000000e-001	       0.1892214	      -0.3767328
9.1796875000000e-001	      -0.4858495	      -0.1257308
9.3750000000000e-001	     -0.09656628	       0.1606572
9.5703125000000e-001	      -0.0532012	       0.1227049
9.7656250000000e-001	     -0.08882154	        0.153575
9.9609375000000e-001	     -0.03228206	       0.1205138
1.0156250000000e+000	      -0.1369945	       0.1917634
1.0351562500000e+000	       0.2971457	       0.1368467
1.0546875000000e+000	      -0.2383323	     0.003226311
