Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	 : 
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	(m/s²)(N)	 
0.0000000000000e+000	      -0.1617429	               0
1.9531250000000e-002	      -0.1581286	     0.006530891
3.9062500000000e-002	      -0.1523324	     0.006970251
5.8593750000000e-002	      -0.1447607	      0.00260612
7.8125000000000e-002	      -0.2008336	     -0.02395482
9.7656250000000e-002	      -0.1654607	      0.05243614
1.1718750000000e-001	       -0.104378	      0.03794916
1.3671875000000e-001	      -0.1875271	    -0.008850252
1.5625000000000e-001	      -0.2698964	       0.1085801
1.7578125000000e-001	     -0.08232581	     -0.02315262
1.9531250000000e-001	      -0.1391132	      0.02791716
2.1484375000000e-001	       -0.125908	      -0.1432031
2.3437500000000e-001	      -0.1652823	       -0.173326
2.5390625000000e-001	      -0.1427207	       0.1969377
2.7343750000000e-001	       0.2840534	      0.03780118
2.9296875000000e-001	      -0.3258643	      -0.2229719
3.1250000000000e-001	       -0.369827	      0.02666486
3.3203125000000e-001	       -0.180561	       0.2889736
3.5156250000000e-001	       -0.172168	      -0.1573721
3.7109375000000e-001	      -0.1563515	       0.2443141
3.9062500000000e-001	      -0.1821098	      -0.2920755
4.1015625000000e-001	      -0.1676764	       0.4398669
4.2968750000000e-001	      -0.1289138	        0.226303
4.4921875000000e-001	       0.4731801	      -0.5472888
4.6875000000000e-001	     -0.06025375	     -0.01567424
4.8828125000000e-001	      -0.7455849	      0.02469367
5.0781250000000e-001	       0.8160367	       0.2336572
5.2734375000000e-001	      0.01744549	      -0.2747282
5.4687500000000e-001	     -0.04973081	      -0.1835605
5.6640625000000e-001	     -0.07056165	      -0.4172375
5.8593750000000e-001	      -0.2202486	       0.1431337
6.0546875000000e-001	       0.3452952	      -0.4982982
6.2500000000000e-001	      -0.1084087	      -0.2051397
6.4453125000000e-001	      -0.4590599	      -0.1730323
6.6406250000000e-001	      -0.3091232	     -0.01360873
6.8359375000000e-001	      -0.1633448	       0.3447644
7.0312500000000e-001	        0.418738	      -0.4657506
7.2265625000000e-001	      -0.3948815	       0.3112603
7.4218750000000e-001	     -0.05467683	      0.02186465
7.6171875000000e-001	     0.006976586	     -0.09037429
7.8125000000000e-001	      -0.2789215	     -0.09002097
8.0078125000000e-001	      -0.1607915	       -0.016484
8.2031250000000e-001	      -0.1047041	      -0.3226634
8.3984375000000e-001	      -0.1967993	      -0.2519307
8.5937500000000e-001	       -0.314775	     -0.07460918
8.7890625000000e-001	      -0.3633321	      -0.1836797
8.9843750000000e-001	      -0.2945896	      0.05893437
9.1796875000000e-001	      -0.3819253	      0.07108457
9.3750000000000e-001	      -0.3598062	       0.2454305
9.5703125000000e-001	       0.0415039	      0.02507935
9.7656250000000e-001	     -0.05059084	      -0.1286103
9.9609375000000e-001	      -0.3331845	      -0.0634389
1.0156250000000e+000	     -0.06119765	        0.242551
1.0351562500000e+000	     -0.04044211	      -0.1153658
1.0546875000000e+000	      -0.2429418	      -0.1019632
