Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	 : 
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	(m/s²)(N)	 
0.0000000000000e+000	      -0.1468685	               0
1.9531250000000e-002	      -0.1508168	     -0.01189859
3.9062500000000e-002	      -0.1550109	    -0.006893143
5.8593750000000e-002	      -0.1699402	    -0.001980954
7.8125000000000e-002	      -0.1529563	     -0.01707973
9.7656250000000e-002	      -0.1380625	      0.04004901
1.1718750000000e-001	      -0.1117409	     -0.08531784
1.3671875000000e-001	      -0.2332815	     -0.01581258
1.5625000000000e-001	       -0.114828	     -0.04918447
1.7578125000000e-001	      -0.1700045	       0.1487427
1.9531250000000e-001	      -0.1160453	      -0.1073821
2.1484375000000e-001	      -0.4255063	      0.06884675
2.3437500000000e-001	     -0.02089725	       0.1766363
2.5390625000000e-001	      -0.3096234	     -0.04219853
2.7343750000000e-001	     -0.04703293	      0.02824763
2.9296875000000e-001	      -0.2652968	      -0.1632858
3.1250000000000e-001	       0.0182228	     -0.03095818
3.3203125000000e-001	      -0.3388776	      -0.1239528
3.5156250000000e-001	       -0.480151	     -0.07058205
3.7109375000000e-001	     0.004892449	      0.07765372
3.9062500000000e-001	       0.1187039	      0.04473818
4.1015625000000e-001	    -0.006673805	      -0.1653475
4.2968750000000e-001	       0.6689671	      -0.4782527
4.4921875000000e-001	      -0.9746723	       0.3384304
4.6875000000000e-001	      -0.3013625	     -0.02327234
4.8828125000000e-001	      0.03097259	       0.2240537
5.0781250000000e-001	      -0.6189916	        0.320239
5.2734375000000e-001	      -0.4018482	       0.8346774
5.4687500000000e-001	      -0.1382317	      -0.1775194
5.6640625000000e-001	      -0.2195266	       0.7555398
5.8593750000000e-001	       0.1323485	       0.1481364
6.0546875000000e-001	      -0.2469532	       0.6036048
6.2500000000000e-001	      -0.1900322	       0.1741277
6.4453125000000e-001	       -0.297938	       0.2001364
6.6406250000000e-001	       0.1254211	       0.4473027
6.8359375000000e-001	      0.03058683	      -0.1139358
7.0312500000000e-001	       0.2942603	         0.32842
7.2265625000000e-001	      -0.2484202	     -0.08262097
7.4218750000000e-001	       0.1031391	      0.01207713
7.6171875000000e-001	      -0.2270295	     -0.07906477
7.8125000000000e-001	      -0.2368475	       0.1525939
8.0078125000000e-001	       -0.464121	       0.1716364
8.2031250000000e-001	      -0.1339503	       0.3369933
8.3984375000000e-001	      0.03254431	     -0.08508559
8.5937500000000e-001	      -0.1296093	      -0.1757996
8.7890625000000e-001	      -0.2472571	       0.2189317
8.9843750000000e-001	     -0.07065026	       0.1779102
9.1796875000000e-001	      -0.2467484	      0.03508029
9.3750000000000e-001	      -0.3528625	       0.2860817
9.5703125000000e-001	    -0.006252777	       0.2137842
9.7656250000000e-001	      -0.1137104	       0.4471524
9.9609375000000e-001	      0.06025762	      0.01000736
1.0156250000000e+000	      0.02342802	     0.008293621
1.0351562500000e+000	     -0.01883101	       0.1034298
1.0546875000000e+000	      0.03402692	      0.07775084
