Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	 : 
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	(m/s²)(N)	 
0.0000000000000e+000	      -0.1633425	               0
1.9531250000000e-002	      -0.1628131	     0.004184789
3.9062500000000e-002	      -0.1567259	   -0.0001765435
5.8593750000000e-002	      -0.1758919	      0.01020421
7.8125000000000e-002	       -0.151343	     0.007954808
9.7656250000000e-002	      -0.1402392	      0.01418012
1.1718750000000e-001	      -0.1720182	     0.002637831
1.3671875000000e-001	      -0.2102008	     -0.03099177
1.5625000000000e-001	     -0.09433951	      0.08100095
1.7578125000000e-001	     -0.08911866	      -0.1090228
1.9531250000000e-001	      -0.3092104	     -0.02260369
2.1484375000000e-001	      -0.1269982	       0.1672286
2.3437500000000e-001	      -0.1054608	      -0.1821122
2.5390625000000e-001	        -0.13247	       0.1159347
2.7343750000000e-001	      -0.4051512	       0.1820071
2.9296875000000e-001	       0.1001879	      -0.3423071
3.1250000000000e-001	     -0.05499757	     -0.02200442
3.3203125000000e-001	      -0.5598238	       0.4753697
3.5156250000000e-001	       0.2280787	     -0.02139446
3.7109375000000e-001	       -0.691819	      -0.2375679
3.9062500000000e-001	       -0.479707	       0.3298898
4.1015625000000e-001	      -0.7436127	       0.1206024
4.2968750000000e-001	       -0.642047	        1.379231
4.4921875000000e-001	        1.755895	       -1.354699
4.6875000000000e-001	       0.2890958	     -0.09008745
4.8828125000000e-001	     -0.05526109	      -0.4183949
5.0781250000000e-001	       -0.513295	       0.2003669
5.2734375000000e-001	       0.3253839	       0.2404189
5.4687500000000e-001	       0.2310228	     -0.02203972
5.6640625000000e-001	      -0.1393555	      -0.7534112
5.8593750000000e-001	      -0.2266475	      -0.4776342
6.0546875000000e-001	       -0.124709	      -0.1956224
6.2500000000000e-001	      -0.4967839	     -0.01571776
6.4453125000000e-001	       0.4950489	      -0.3641642
6.6406250000000e-001	      -0.2360724	       -0.396839
6.8359375000000e-001	       -0.013131	      -0.4267066
7.0312500000000e-001	      -0.2667619	      -0.4187611
7.2265625000000e-001	      -0.5132549	      0.09016007
7.4218750000000e-001	       -0.541203	     -0.01848462
7.6171875000000e-001	      -0.1807439	     -0.04583171
7.8125000000000e-001	      -0.2931364	     -0.09691232
8.0078125000000e-001	     -0.05792478	      0.01925205
8.2031250000000e-001	      -0.1635006	     -0.03419004
8.3984375000000e-001	      -0.3441657	       0.1499889
8.5937500000000e-001	       0.1811456	      0.06473942
8.7890625000000e-001	      -0.1743775	     -0.08152315
8.9843750000000e-001	     -0.09055123	       0.1302775
9.1796875000000e-001	       0.1130291	     -0.07485442
9.3750000000000e-001	      -0.2077232	      -0.3861451
9.5703125000000e-001	      -0.4157053	      -0.3239085
9.7656250000000e-001	     -0.03455924	      -0.1142518
9.9609375000000e-001	      -0.0913546	     -0.01472378
1.0156250000000e+000	      -0.2666407	     -0.02530821
1.0351562500000e+000	      -0.2355096	      0.03033157
1.0546875000000e+000	      -0.1417996	      0.01789028
